Time,Voltage
5,1.459676743
5.01,1.473888397
5.02,1.466781616
5.03,1.471755981
5.04,1.468202591
5.05,1.469625473
5.06,1.485969543
5.07,1.476020813
5.08,1.483837128
5.09,1.479574203
5.1,1.478862762
5.11,1.494495392
5.12,1.485969543
5.13,1.493785858
5.14,1.488100052
5.15,1.490232468
5.16,1.504444122
5.17,1.495206833
5.18,1.503734589
5.19,1.498048782
5.2,1.499469757
5.21,1.512971878
5.22,1.505155563
5.23,1.513683319
5.24,1.508708954
5.25,1.508708954
5.26,1.525053024
5.27,1.516525269
5.28,1.52363205
5.29,1.519367218
5.3,1.518657684
5.31,1.534290314
5.32,1.525762558
5.33,1.534290314
5.34,1.527894974
5.35,1.529315948
5.36,1.543527603
5.37,1.535711288
5.38,1.544950485
5.39,1.538553238
5.4,1.53997612
5.41,1.554897308
5.42,1.544950485
5.43,1.555608749
5.44,1.548501968
5.45,1.549213409
5.46,1.564136505
5.47,1.557029724
5.48,1.564136505
5.49,1.558450699
5.5,1.55916214
5.51,1.574085236
5.52,1.564846039
5.53,1.574085236
5.54,1.568399429
5.55,1.570531845
5.56,1.583322525
5.57,1.57550621
5.58,1.584033966
5.59,1.577638626
5.6,1.57834816
5.61,1.59469223
5.62,1.586875916
5.63,1.595403671
5.64,1.587585449
5.65,1.58829689
5.66,1.602508545
5.67,1.596113205
5.68,1.602508545
5.69,1.596824646
5.7,1.599666595
5.71,1.612457275
5.72,1.605352402
5.73,1.612457275
5.74,1.606061935
5.75,1.609615326
5.76,1.620985031
5.77,1.614589691
5.78,1.623117447
5.79,1.616722107
5.8,1.618143082
5.81,1.631643295
5.82,1.624538422
5.83,1.631643295
5.84,1.625959396
5.85,1.628091812
5.86,1.642303467
5.87,1.634487152
5.88,1.642303467
5.89,1.636617661
5.9,1.638040543
5.91,1.650119781
5.92,1.642303467
5.93,1.651540756
5.94,1.644435883
5.95,1.647277832
5.96,1.660779953
5.97,1.653673172
5.98,1.660779953
5.99,1.654384613
6,1.655094147
6.01,1.669305801
6.02,1.662200928
6.03,1.670017242
6.04,1.662910461
6.05,1.665042877
6.06,1.679254532
6.07,1.670017242
6.08,1.679254532
6.09,1.671438217
6.1,1.674280167
6.11,1.686361313
6.12,1.679965973
6.13,1.687072754
6.14,1.679254532
6.15,1.682807922
6.16,1.696310043
6.17,1.689914703
6.18,1.697731018
6.19,1.692045212
6.2,1.692756653
6.21,1.705547333
6.22,1.697019577
6.23,1.706258774
6.24,1.699151993
6.25,1.701993942
6.26,1.716207504
6.27,1.709100723
6.28,1.716917038
6.29,1.707679749
6.3,1.711942673
6.31,1.723312378
6.32,1.717628479
6.33,1.725444794
6.34,1.717628479
6.35,1.720470428
6.36,1.734682083
6.37,1.726865768
6.38,1.736104965
6.39,1.727577209
6.4,1.730419159
6.41,1.74392128
6.42,1.736814499
6.43,1.743209839
6.44,1.736104965
6.45,1.739656448
6.46,1.752449036
6.47,1.745342255
6.48,1.75387001
6.49,1.745342255
6.5,1.746763229
6.51,1.763818741
6.52,1.756000519
6.53,1.762395859
6.54,1.755290985
6.55,1.756000519
6.56,1.770923615
6.57,1.764528275
6.58,1.772344589
6.59,1.765239716
6.6,1.767370224
6.61,1.781583786
6.62,1.773765564
6.63,1.780162811
6.64,1.774477005
6.65,1.77589798
6.66,1.78868866
6.67,1.783714294
6.68,1.790821075
6.69,1.783714294
6.7,1.785135269
6.71,1.79863739
6.72,1.792953491
6.73,1.79863739
6.74,1.79224205
6.75,1.79224205
6.76,1.807876587
6.77,1.80147934
6.78,1.808586121
6.79,1.797927856
6.8,1.802902222
6.81,1.816402435
6.82,1.808586121
6.83,1.81782341
6.84,1.808586121
6.85,1.812139511
6.86,1.826351166
6.87,1.81782341
6.88,1.826351166
6.89,1.816402435
6.9,1.820667267
6.91,1.835590363
6.92,1.827772141
6.93,1.835590363
6.94,1.825641632
6.95,1.829904556
6.96,1.843406677
6.97,1.837011337
6.98,1.843406677
6.99,1.836299896
7,1.837720871
7.01,1.852643967
7.02,1.844827652
7.03,1.854064941
7.04,1.843406677
7.05,1.849802017
7.06,1.861171722
7.07,1.854776382
7.08,1.864013672
7.09,1.854064941
7.1,1.855485916
